HG00232	  1.43562    10.875   16.1553   11.4183    4.2663   4.41047   12.0279   7.02521  -8.33162 0.0524916  -7.81176 -0.644123   4.80604   3.93173 -0.217936   10.2675  -9.84068  -1.58557   5.36291   2.87545
HG00233	 3.59811  4.48843  1.65739 -4.59379 -2.12253  6.45526 -4.98541 -10.7751 -3.48027  7.48208 0.475301  14.8112  -6.3948 -2.58885 -8.91829 -3.19576 -1.74167  4.18565  2.97147 -5.73188
HG00234	  0.021621    7.55817    3.95888  -0.230331 -0.0312735   -2.07679    1.77243   0.644739    1.21868    3.76998   -7.60052    3.74136   -6.28761   -12.0716   0.783119   -3.99659   -1.16203  -0.853421    1.72159   -7.28658
HG00235	  1.81973   9.19626   1.69839   1.13721 -0.567889   2.10594  -2.72697   2.63766  -1.54134  -5.89059   1.70074   10.2774   2.03684     11.69  -9.85241   4.63122  -7.84123   3.59782 -0.315988  -2.54059
HG00236	  1.71191   17.5322   1.54612   2.93751 -0.848907   7.95615  -9.31166   5.87447  -1.35308   2.34662 -0.348957 -0.934244  -5.06887   -5.7437   13.3854  -6.08762   -2.9948  -3.54115  -14.4752  -8.25948
HG00237	-1.02394  7.10742 -2.75025  7.21831  7.63104   6.1796 -9.20701  7.00012 -1.31558  -5.3902  4.86059 -2.19977  11.3941  -3.3313 -8.50744 -9.92349 -8.50969 0.366089  4.20721 0.633442
HG00238	0.0554462   12.9627   9.08522   -5.8131  -5.62913   6.70293   17.0878   15.9063  -24.6626   5.30383  -5.21806  -5.11456  -6.71192   7.77245   10.8497   3.08489   3.80328  -4.69015  -11.8467    1.7187
HG00239	-0.766842    8.6108   1.44874  0.894373  -7.87934  -10.8061  -2.43389  0.886759   4.85417   4.77338   4.47654   7.84238  -2.45724   12.1421   4.67133 -0.570369   -2.0809  -2.41249  -1.29562  -5.36465
HG00240	   1.3205   10.2016   8.89067    -13.05  -9.43251   5.45238   21.4066   16.6412  -28.4942   9.06907  -7.12716  -4.57664  -10.0709   8.41978    17.415  -2.06221   3.85657 -0.207652  -8.61946  -1.46135
HG00242	 -1.39397   8.54006   1.12787  -3.29845   5.43457    13.363   -4.5943  -4.54513   6.67246 -0.720353  -6.66872     6.879   1.14453 -0.895708  -4.34488  -8.15522   1.10606  0.280184   10.5564   7.83072
HG00243	   1.79739    12.7257    3.38134   -2.30011   -1.16709    4.86368    -2.3955  -0.258548  -0.604054 -0.0798292   0.342873   -7.59338    10.9496    4.10171  -0.976752    10.5683  -0.254841    9.79274    -2.1009     8.2422
HG00244	  3.59411   9.74271   4.60115  -6.01118  -7.32579  -10.1081   9.02997   1.04807   9.58492  -13.3913   6.77641   3.17338   9.62754  -4.91644 -0.213784 -0.163082 -0.889244  -1.26475 0.0971744   0.24996
HG00245	 -0.752328     7.7561     3.4883   -11.8334   -6.73601    6.11575   -8.55453    9.14492    3.87081    5.59313    2.34571   -1.09589    4.33417 -0.0852714   -4.40354    3.33779    6.81208   0.506714   -2.66859   -3.63571
HG00246	  2.34596    5.1164   8.29679  -2.15311   2.03844   1.56893  -8.43087   8.76259  0.498414   3.37394 -0.215904   5.29506  -1.90788   -6.5677  -3.97044  -11.3724   1.35514   5.91645   8.11487   2.95592
HG00249	  1.55325   12.1336  -1.52585 -0.666457  -8.54232   4.97868   1.20488   9.19855  0.751937   6.29224  -1.58581  -3.86664  -5.49179   9.44521  -1.80471  -1.63402  -3.77114  -5.09457  -4.61769  -4.42543
HG00250	-0.82495  7.80648 -3.14755 -8.52824 -8.46005  5.56427  9.27286 -6.52718  1.56341 -3.82825   5.6346 -4.04979  3.04598  2.15857 -9.48261 -5.35965  1.19675   4.0417 -1.51622 -4.81151
HG00251	  3.02711   8.34043  -11.0721  -4.83465  -6.69648  -3.69912   6.08898  -5.20146   4.49956   3.41684    4.0467 -0.462486   6.47947  -1.78913   1.00864  0.244206   2.09966  -8.14513    2.1409   6.32035
